,Player,Country,Team,goal,penalty
0,Jamie Vardy,England,Leicester City ,23,4
1,Pierre-Emerick Aubameyang,Gabon,Arsenal FC ,22,2
2,Danny Ings,England,Southampton FC ,22,1
3,Raheem Sterling,England,Manchester City ,20,0
4,Mo Salah,Egypt,Liverpool FC ,19,3
5,Harry Kane,England,Tottenham Hotspur ,18,2
6,Sadio Mané,Senegal,Liverpool FC ,18,0
7,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,17,4
8,Anthony Martial,France,Manchester United ,17,0
9,Marcus Rashford,England,Manchester United ,17,6
10,Sergio Agüero,Argentina,Manchester City ,16,2
11,Tammy Abraham,England,Chelsea FC ,15,0
12, Gabriel Jesus,Brazil,Manchester City ,14,0
13,Chris Wood,New Zealand,Burnley FC ,14,1
14,Dominic Calvert-Lewin,England,Everton FC ,13,0
15,Kevin De Bruyne,Belgium,Manchester City ,13,2
16, Richarlison,Brazil,Everton FC ,13,0
17,Riyad Mahrez,Algeria,Manchester City ,11,1
18,Teemu Pukki,Finland,Norwich City ,11,2
19,Heung-min Son,South Korea,Tottenham Hotspur ,11,0
20,Michail Antonio,Jamaica,West Ham United ,10,1
21,Troy Deeney,England,Watford FC ,10,5
22,Mason Greenwood,England,Manchester United ,10,0
23,Alexandre Lacazette,France,Arsenal FC ,10,0
24,Neal Maupay,France,Brighton & Hove Albion ,10,1
25,Jordan Ayew,Ghana,Crystal Palace ,9,0
26,Christian Pulišić,USA,Chelsea FC ,9,0
27, Roberto Firmino,Brazil,Liverpool FC ,9,0
28, Willian,Brazil,Chelsea FC ,9,4
29,Dele Alli,England,Tottenham Hotspur ,8,1
30, Ayoze Pérez,Spain,Leicester City ,8,1
31, Bruno Fernandes,Portugal,Manchester United ,8,4
32,Olivier Giroud,France,Chelsea FC ,8,0
33,Jack Grealish,England,Aston Villa ,8,0
34,Jay Rodriguez,England,Burnley FC ,8,1
35,Callum Wilson,England,AFC Bournemouth ,8,0
36, Diogo Jota,Portugal,Wolverhampton Wanderers ,7,0
37,Sébastien Haller,Ivory Coast,West Ham United ,7,0
38,Mason Mount,England,Chelsea FC ,7,0
39,Harry Wilson,Wales,AFC Bournemouth ,7,0
40,Ashley Barnes,England,Burnley FC ,6,1
41,Harvey Barnes,England,Leicester City ,6,0
42, Bernardo Silva,Portugal,Manchester City ,6,0
43,Todd Cantwell,England,Norwich City ,6,0
44, David Silva,Spain,Manchester City ,6,0
45,Joshua King,Norway,AFC Bournemouth ,6,3
46,James Maddison,England,Leicester City ,6,0
47,Oliver McBurnie,Scotland,Sheffield United ,6,0
48,Lys Mousset,France,Sheffield United ,6,0
49,Jonjo Shelvey,England,Newcastle United ,6,0
50,Mahmoud Trezeguet,Egypt,Aston Villa ,6,0
51,Stuart Armstrong,Scotland,Southampton FC ,5,0
52,John Fleck,Scotland,Sheffield United ,5,0
53,Phil Foden,England,Manchester City ,5,0
54,Kelechi Iheanacho,Nigeria,Leicester City ,5,0
55,John Lundstram,England,Sheffield United ,5,0
56,Nicolas Pépé,Ivory Coast,Arsenal FC ,5,1
57,Ismaïla Sarr,Senegal,Watford FC ,5,0
58,Robert Snodgrass,Scotland,West Ham United ,5,0
59,Leandro Trossard,Belgium,Brighton & Hove Albion ,5,0
60,Virgil van Dijk,Netherlands,Liverpool FC ,5,0
61,James Ward-Prowse,England,Southampton FC ,5,1
62, Wesley,Brazil,Aston Villa ,5,0
63,Andrey Yarmolenko,Ukraine,West Ham United ,5,0
64, Adama Traoré,Spain,Wolverhampton Wanderers ,4,0
65,Ché Adams,Scotland,Southampton FC ,4,0
66,Trent Alexander-Arnold,England,Liverpool FC ,4,0
67,Miguel Almirón,Paraguay,Newcastle United ,4,0
68,Leander Dendoncker,Belgium,Wolverhampton Wanderers ,4,0
69,Matt Doherty,Ireland,Wolverhampton Wanderers ,4,0
70,Abdoulaye Doucouré,Mali,Watford FC ,4,0
71,Anwar El Ghazi,Netherlands,Aston Villa ,4,1
72,Dwight Gayle,England,Newcastle United ,4,0
73, Gerard Deulofeu,Spain,Watford FC ,4,1
74,Jordan Henderson,England,Liverpool FC ,4,0
