,Player,Country,Team,Assists
0,Kevin De Bruyne,Belgium,Manchester City ,16
1,Mo Salah,Egypt,Liverpool FC ,12
2,Leandro Trossard,Belgium,Arsenal FC Brighton & Hove Albion ,12
3,Michael Olise,France,Crystal Palace ,11
4,Bukayo Saka,England,Arsenal FC ,11
5,Riyad Mahrez,Algeria,Manchester City ,10
6,Trent Alexander-Arnold,England,Liverpool FC ,9
7,Morgan Gibbs-White,England,Nottingham Forest Wolverhampton Wanderers ,9
8,James Maddison,England,Leicester City ,9
9, Bruno Fernandes,Portugal,Manchester United ,8
10,Christian Eriksen,Denmark,Manchester United ,8
11,Pascal Groß,Germany,Brighton & Hove Albion ,8
12,Erling Haaland,Norway,Manchester City ,8
13,Bryan Mbeumo,Cameroon,Brentford FC ,8
14,Ivan Perišić,Croatia,Tottenham Hotspur ,8
15,Andy Robertson,Scotland,Liverpool FC ,8
16,Jack Grealish,England,Manchester City ,7
17,Jack Harrison,England,Leeds United ,7
18,Alex Iwobi,Nigeria,Everton FC ,7
19,Dejan Kulusevski,Sweden,Tottenham Hotspur ,7
20,Solly March,England,Brighton & Hove Albion ,7
21,Martin Ødegaard,Norway,Arsenal FC ,7
22,Jacob Ramsey,England,Aston Villa ,7
23,Dominic Solanke,England,AFC Bournemouth ,7
24,Kieran Trippier,England,Newcastle United ,7
25,Granit Xhaka,Switzerland,Arsenal FC ,7
26, Andreas Pereira,Brazil,Fulham FC ,6
27, Douglas Luiz,Brazil,Aston Villa ,6
28,Phil Foden,England,Manchester City ,6
29, Gabriel Jesus,Brazil,Arsenal FC ,6
30,Mathias Jensen,Denmark,Brentford FC ,6
31,Kaoru Mitoma,Japan,Brighton & Hove Albion ,6
32, Rodri,Spain,Manchester City ,6
33,Heung-min Son,South Korea,Tottenham Hotspur ,6
34,Ollie Watkins,England,Aston Villa ,6
35,Joe Willock,England,Newcastle United ,6
36, Bernardo Silva,Portugal,Manchester City ,5
37,Jarrod Bowen,England,West Ham United ,5
38, Bruno Guimarães,Brazil,Newcastle United ,5
