RK,TEAM,P,YC,RC,PTS
1,Leeds United,38,101,3,110
2,Everton,38,79,6,97
3,Newcastle United,38,87,2,93
4,Aston Villa,38,80,2,86
5,Manchester United,38,76,2,82
6,Arsenal,38,63,4,75
,Brighton & Hove Albion,38,69,2,75
8,Burnley,38,67,2,73
9,Brentford,38,63,3,72
10,Crystal Palace,38,68,1,71
11,Tottenham Hotspur,38,67,1,70
12,Watford,38,60,3,69
,Southampton,38,63,2,69
14,Wolverhampton Wanderers,38,60,2,66
,Chelsea,38,63,1,66
16,Norwich City,38,56,1,59
17,Leicester City,38,55,1,58
,West Ham United,38,49,3,58
19,Liverpool,38,50,1,53
20,Manchester City,38,42,1,45
