Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,34,14.9,,64.8,88.6,,
2. Arsenal,35,12.6,,57,84.7,,
3. Newcastle,32,12,,50.4,78.6,,
4. Brighton,35,13.8,,60.6,85.2,,
5. Liverpool,29,14.6,,61,84.4,,
6. Tottenham,33,12.1,,48.7,83,,
7. Manchester United,22,13.2,,54.7,81.7,,
8. Everton,18,10.4,,41.3,76.4,,
9. Fulham,24,10,,46.5,80.1,,
10. Brentford,23,8.9,,42.9,75,,
11. Chelsea,18,11.8,,58.5,85.9,,
12. Aston Villa,18,10.8,,48.6,80.4,,
13. Crystal Palace,19,10.2,,45.1,79.5,,
14. Leicester,28,10.9,,47.3,80.2,,
15. Southampton,17,9.9,,44.1,77.7,,
16. West Ham,16,11.1,,41.1,77.1,,
17. Leeds,22,11.1,,45.4,73,,
18. Bournemouth,17,8.4,,39.1,77.3,,
19. Wolves,12,10.5,,51.7,82.7,,
20. Nottingham Forest,11,9.2,,37.9,72.5,,
