Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,43,17.2,,62.8,90,,
2. Chelsea,31,14.9,,52.3,87.1,,
3. Tottenham,35,12.3,,52.2,83.2,,
4. Manchester United,38,14.7,,0,85.7,,
5. Leicester,34,12.8,,54.2,82.3,,
6. Leeds,28,13.9,,55.9,81.4,,
7. Aston Villa,29,14.1,,49.2,79.5,,
8. West Ham,32,11.6,,44.8,77.8,,
9. Liverpool,29,16.7,,60.8,86.8,,
10. Southampton,28,12.1,,51.5,80.6,,
11. Wolves,21,14.2,,51.6,84.6,,
12. Brighton,22,15.5,,52.4,82.7,,
13. Everton,24,11.5,,48.9,81.5,,
14. Crystal Palace,20,8.5,,43.5,74.9,,
15. Arsenal,24,12.6,,53.5,85,,
16. Newcastle,26,12.2,,43.4,77,,
17. Fulham,9,12.3,,51.5,81.6,,
18. Burnley,14,10.4,,44.5,72.8,,
19. Sheffield United,12,9.6,,44.7,76.9,,
20. West Bromwich Albion,15,9.1,,41.5,72.2,,
