Team,Goals,Shots pg,Discipline,Possession%,Pass%,,
1. Manchester City,95,18,441,64,89,,
2. Liverpool,89,15.1,372,58.8,84.4,,
3. Chelsea,63,16,490,59.9,87.6,,
4. Tottenham,67,14.1,563,56.7,83.2,,
5. Arsenal,73,12.3,722,56.1,83.3,,
6. Leicester,51,13.6,575,50.8,79.2,,
7. Crystal Palace,51,13,582,46.6,76.8,,
8. West Ham,52,11.6,591,49,78.7,,
9. Everton,54,13.1,554,51,77.3,,
10. Wolves,47,12.6,721,47.4,78.2,,
11. Newcastle,42,11.7,572,42.9,72.9,,
12. Manchester United,65,13.8,734,53.3,82.3,,
13. Burnley,45,9.5,751,43.4,70.3,,
14. Southampton,45,12.7,713,45.4,74,,
15. Watford,52,11.5,774,47.4,76.1,,
16. Bournemouth,56,11.7,601,47.7,78.1,,
17. Cardiff,34,11,661,39.1,63.9,,
18. Brighton,35,9.8,604,44.1,74.8,,
19. Fulham,34,11.9,682,49.2,80.3,,
20. Huddersfield,22,10.6,554,47.1,75.8,,
