Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,102,19.6,,62.6,89.3,,
2. Liverpool,85,15.6,,59.6,84.3,,
3. Leicester,67,14.2,,55.1,82.8,,
4. Chelsea,69,16.4,,57.9,85.2,,
5. Manchester United,66,14.3,,54.6,83.6,,
6. Wolves,51,12.1,,48.7,79.2,,
7. Tottenham,61,11.7,,51.5,81.4,,
8. Burnley,43,10.2,,43.9,70,,
9. West Ham,49,11,,45.4,76.1,,
10. Sheffield United,39,9.3,,44.4,74.4,,
11. Arsenal,56,10.7,,52.9,83.6,,
12. Southampton,51,13.1,,49.2,73.4,,
13. Everton,44,12.3,,49,78,,
14. Crystal Palace,31,9.9,,46.4,76.5,,
15. Newcastle,38,10.5,,41.8,75.3,,
16. Brighton,39,12.2,,51.7,81,,
17. Aston Villa,41,12,,45.7,76.9,,
18. Bournemouth,40,10.2,,45.6,75.4,,
19. Watford,36,11.2,,44.3,73.5,,
20. Norwich,26,10.8,,49.8,80.5,,
